Files will be save in ../data/setup4/2026_06_09/plus0mm\3
"TUE,PYNQRYB,February 2025,1.4"
Motor stopped at zero point
[3.5e+00 1.8e+04 1.0e+03] R^2: -6912.364578185399
[3.5e+00 1.8e+04 1.0e+03] R^2: -6929.272114839227
[3.5e+00 1.8e+04 1.0e+03] R^2: -6937.6085200117395
[3.5e+00 1.8e+04 1.0e+03] R^2: -6952.641234141157
[3.5e+00 1.8e+04 1.0e+03] R^2: -6978.25232806499
[3.5e+00 1.8e+04 1.0e+03] R^2: -7003.902517172043
[3.5e+00 1.8e+04 1.0e+03] R^2: -7025.125279101264
[3.5e+00 1.8e+04 1.0e+03] R^2: -7050.54818816595
[3.5e+00 1.8e+04 1.0e+03] R^2: -7076.070064773168
[3.5e+00 1.8e+04 1.0e+03] R^2: -7101.697415377165
[3.5e+00 1.8e+04 1.0e+03] R^2: -7126.883816016358
[3.5e+00 1.8e+04 1.0e+03] R^2: -7150.462722046674
[3.5e+00 1.8e+04 1.0e+03] R^2: -7174.1855578324285
[3.5e+00 1.8e+04 1.0e+03] R^2: -7192.3454170857985
[3.5e+00 1.8e+04 1.0e+03] R^2: -7214.325615344356
[3.5e+00 1.8e+04 1.0e+03] R^2: -7239.680622516793
[3.5e+00 1.8e+04 1.0e+03] R^2: -7260.762724037362
[3.5e+00 1.8e+04 1.0e+03] R^2: -7263.341732058667
[3.5e+00 1.8e+04 1.0e+03] R^2: -7281.985037660097
[3.5e+00 1.8e+04 1.0e+03] R^2: -7306.223844315519
[3.5e+00 1.8e+04 1.0e+03] R^2: -7328.996589932208
[3.5e+00 1.8e+04 1.0e+03] R^2: -7343.333321502724
[3.5e+00 1.8e+04 1.0e+03] R^2: -7357.167373544205
[3.5e+00 1.8e+04 1.0e+03] R^2: -7378.120211266091
[3.5e+00 1.8e+04 1.0e+03] R^2: -7402.977118787522
[3.5e+00 1.8e+04 1.0e+03] R^2: -7427.855115579754
[3.5e+00 1.8e+04 1.0e+03] R^2: -7442.08395282388
[3.5e+00 1.8e+04 1.0e+03] R^2: -7451.6280221916195
[3.5e+00 1.8e+04 1.0e+03] R^2: -7476.406824812705
[3.5e+00 1.8e+04 1.0e+03] R^2: -7501.58336415502
[3.5e+00 1.8e+04 1.0e+03] R^2: -7511.794696169556
[3.5e+00 1.8e+04 1.0e+03] R^2: -7469.690984702287
[3.5e+00 1.8e+04 1.0e+03] R^2: -7478.167005758914
[3.5e+00 1.8e+04 1.0e+03] R^2: -7498.304341366489
[3.5e+00 1.8e+04 1.0e+03] R^2: -7494.987939523368
[3.5e+00 1.8e+04 1.0e+03] R^2: -7443.906339724894
[3.5e+00 1.8e+04 1.0e+03] R^2: -7449.128684757283
[3.5e+00 1.8e+04 1.0e+03] R^2: -7468.697988819261
[3.5e+00 1.8e+04 1.0e+03] R^2: -7490.858524601855
[3.5e+00 1.8e+04 1.0e+03] R^2: -7439.593449628264
[3.5e+00 1.8e+04 1.0e+03] R^2: -7408.373297751319
[3.5e+00 1.8e+04 1.0e+03] R^2: -7409.275475257026
[3.5e+00 1.8e+04 1.0e+03] R^2: -7419.389233462438
